hs8,hs6,naics6,naics2,tariff,desc,Country,unmapped,bad_naics6,naics2_mismatch,public_admin,hs97,hs000
19059000,190590,31181X,31,25.0%,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products: -Other",China,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
19059051,190590,31181X,31,25.0%,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products. OtherPizza and quiche; pastries, pies, puddings and cakes, including sweet products leavened with yeast; bakery products made without flour: Pizza and quiche",Canada,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
00210690,002106,NA,NA,10.0%,"Food preparations, n.e.s.",Turkey,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
00002208,000022,NA,NA,40.0%,"Undenatured ethyl alcohol of an alcoholic strength of < 80%; spirits, liqueurs and other spirituous beverages",Turkey,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
23032000,230320,31131X,31,10.0%,"Residues of starch manufacture and similar residues, beet-pulp, bagasse and other waste of sugar manufacture, brewing or distilling dregs and waste, whether or not in the form of pellets: -Beet-pulp, bagasses and other waste of sugar manufacture",China,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
00002401,000024,NA,NA,25.0%,Unmanufactured tobacco; tobacco refuse,Turkey,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
24041100,240411,NA,NA,25.0%,"Products containing tobacco, reconstituted tobacco, nicotine, or tobacco or nicotine substitutes, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body: --Containing tobacco or reconstituted tobacco",China,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
24041110,240411,NA,NA,25.0%,"Products containing tobacco, reconstituted tobacco, nicotine, or tobacco or nicotine substitutes, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body. Products intended for inhalation without combustion: Containing tobacco or reconstituted tobaccoContaining homogenized or reconstituted tobacco",Canada,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
24041190,240411,NA,NA,25.0%,"Products containing tobacco, reconstituted tobacco, nicotine, or tobacco or nicotine substitutes, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body. Products intended for inhalation without combustion: Containing tobacco or reconstituted tobaccoOther tobacco",Canada,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
24041200,240412,NA,NA,25.0%,"Products containing tobacco, reconstituted tobacco, nicotine, or tobacco or nicotine substitutes, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body. Products intended for inhalation without combustion: Other, containing nicotine",Canada,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
24041900,240419,NA,NA,25.0%,"Products containing tobacco, reconstituted tobacco, nicotine, or tobacco or nicotine substitutes, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body. Products intended for inhalation without combustion: Other",Canada,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
24041910,240419,NA,NA,25.0%,"Products containing tobacco, reconstituted tobacco, nicotine, or tobacco or nicotine substitutes, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body: ---Other,containing tobacco subsitutes",China,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
24049100,240491,NA,NA,35.0%,"Products containing tobacco, reconstituted tobacco, nicotine, or tobacco or nicotine substitutes, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body. Other: For oral application",Canada,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
24049200,240492,NA,NA,25.0%,"Products containing tobacco, reconstituted tobacco, nicotine, or tobacco or nicotine substitutes, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body. Other: For transdermal application",Canada,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
24049900,240499,NA,NA,25.0%,"Products containing tobacco, reconstituted tobacco, nicotine, or tobacco or nicotine substitutes, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body. Other: Other",Canada,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
25253000,252530,910000,91,2.5%,"Mica, including splittings; mica waste: -Mica waste",China,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
26219000,262190,910000,91,10.0%,"Other slag and ash, including seaweed ash (kelp); ash and residues from the incineration of municipal waste: -Other",China,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
00002701,000027,NA,NA,10.0%,"Coal; briquettes, ovoids and similiar solid fuels manufactured from coal",Turkey,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
00270400,002704,NA,NA,10.0%,"Coke and semi-coke of coal, of lignite or of peat, whether or not agglomerated; retort carbon",Turkey,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
00271311,002713,NA,NA,5.0%,"Petroleum coke, non-calcined",Turkey,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
